"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Ignore", "Markdown", "comment", "blank", "total"
"c:\Users\pc\Videos\FDYBoT_new\.eslintrc.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 19, 0, 25
"c:\Users\pc\Videos\FDYBoT_new\.prettierignore", "Ignore", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\pc\Videos\FDYBoT_new\.prettierrc.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\pc\Videos\FDYBoT_new\README.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 27, 80
"c:\Users\pc\Videos\FDYBoT_new\dist\assets\bars.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\en.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\zh_cn.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\zh_tw.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\pc\Videos\FDYBoT_new\dist\core\CommandHandler.js", "JavaScript", 0, 55, 0, 0, 0, 0, 1, 0, 56
"c:\Users\pc\Videos\FDYBoT_new\dist\core\CommandManager.js", "JavaScript", 0, 39, 0, 0, 0, 0, 1, 0, 40
"c:\Users\pc\Videos\FDYBoT_new\dist\core\Database.js", "JavaScript", 0, 56, 0, 0, 0, 0, 1, 0, 57
"c:\Users\pc\Videos\FDYBoT_new\dist\core\PluginLoader.js", "JavaScript", 0, 89, 0, 0, 0, 0, 1, 0, 90
"c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Langs.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 0, 8
"c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Schema.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 0, 23
"c:\Users\pc\Videos\FDYBoT_new\dist\core\structure\Types.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 0, 4
"c:\Users\pc\Videos\FDYBoT_new\dist\index.js", "JavaScript", 0, 70, 0, 0, 0, 0, 5, 0, 75
"c:\Users\pc\Videos\FDYBoT_new\dist\package.json", "JSON", 0, 0, 0, 9, 0, 0, 33, 0, 42
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\basic\.plugin.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\basic\src\index.js", "JavaScript", 0, 283, 0, 0, 0, 0, 15, 0, 298
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\economy\.plugin.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\economy\src\index.js", "JavaScript", 0, 61, 0, 0, 0, 0, 4, 0, 65
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\fun\.plugin.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\pc\Videos\FDYBoT_new\dist\plugins\fun\src\index.js", "JavaScript", 0, 411, 0, 0, 0, 0, 10, 0, 421
"c:\Users\pc\Videos\FDYBoT_new\dist\services\ap.js", "JavaScript", 0, 35, 0, 0, 0, 0, 1, 0, 36
"c:\Users\pc\Videos\FDYBoT_new\dist\services\helpCommand.js", "JavaScript", 0, 66, 0, 0, 0, 0, 30, 0, 96
"c:\Users\pc\Videos\FDYBoT_new\dist\services\i18n.js", "JavaScript", 0, 31, 0, 0, 0, 0, 1, 0, 32
"c:\Users\pc\Videos\FDYBoT_new\dist\services\inventory.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 0, 29
"c:\Users\pc\Videos\FDYBoT_new\dist\services\math.js", "JavaScript", 0, 31, 0, 0, 0, 0, 1, 0, 32
"c:\Users\pc\Videos\FDYBoT_new\dist\services\random.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 0, 4
"c:\Users\pc\Videos\FDYBoT_new\dist\services\snowflake.js", "JavaScript", 0, 19, 0, 0, 0, 0, 5, 0, 24
"c:\Users\pc\Videos\FDYBoT_new\package.json", "JSON", 0, 0, 0, 9, 0, 0, 30, 0, 39
"c:\Users\pc\Videos\FDYBoT_new\sb.json", "JSON", 0, 0, 0, 1926, 0, 0, 0, 1, 1927
"c:\Users\pc\Videos\FDYBoT_new\src\assets\bars.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\en.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\zh_cn.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\pc\Videos\FDYBoT_new\src\assets\lang\zh_tw.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\pc\Videos\FDYBoT_new\src\core\CommandHandler.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 11, 70
"c:\Users\pc\Videos\FDYBoT_new\src\core\CommandManager.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\pc\Videos\FDYBoT_new\src\core\Database.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 6, 52
"c:\Users\pc\Videos\FDYBoT_new\src\core\PluginLoader.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 7, 84
"c:\Users\pc\Videos\FDYBoT_new\src\core\structure\Schema.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\pc\Videos\FDYBoT_new\src\core\structure\Types.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\pc\Videos\FDYBoT_new\src\global.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\pc\Videos\FDYBoT_new\src\index.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 4, 16, 97
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\basic\.plugin.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\basic\src\index.ts", "TypeScript", 0, 0, 342, 0, 0, 0, 14, 13, 369
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\.plugin.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\src\index.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 3, 8, 68
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\.plugin.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\src\index.js", "JavaScript", 0, 440, 0, 0, 0, 0, 9, 14, 463
"c:\Users\pc\Videos\FDYBoT_new\src\services\ap.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\pc\Videos\FDYBoT_new\src\services\helpCommand.js", "JavaScript", 0, 64, 0, 0, 0, 0, 31, 2, 97
"c:\Users\pc\Videos\FDYBoT_new\src\services\i18n.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\pc\Videos\FDYBoT_new\src\services\inventory.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\pc\Videos\FDYBoT_new\src\services\math.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\pc\Videos\FDYBoT_new\src\services\random.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\pc\Videos\FDYBoT_new\src\services\snowflake.js", "JavaScript", 0, 19, 0, 0, 0, 0, 4, 8, 31
"c:\Users\pc\Videos\FDYBoT_new\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 75, 9, 103
"Total", "-", 25, 1832, 867, 2090, 3, 53, 303, 165, 5338